Município	Cap I	Total
240680 Lajes Pintadas	1	1
240700 Luís Gomes	3	3
240710 Macaíba	14	14
240720 Macau	3	3
240740 Martins	2	2
240760 Messias Targino	2	2
240770 Montanhas	3	3
240780 Monte Alegre	3	3
240800 Mossoró	59	59
240810 Natal	198	198
240820 Nísia Floresta	4	4
240830 Nova Cruz	9	9
240840 Olho-d'Água do Borges	2	2
240860 Paraná	1	1
240890 Parelhas	6	6
240325 Parnamirim	42	42
240920 Passagem	2	2
240930 Patu	7	7
240940 Pau dos Ferros	10	10
240970 Pedro Avelino	2	2
240980 Pedro Velho	4	4
240990 Pendências	2	2
241020 Portalegre	3	3
241025 Porto do Mangue	1	1
241040 Pureza	2	2
241050 Rafael Fernandes	2	2
241070 Riacho da Cruz	1	1
241080 Riacho de Santana	1	1
240895 Rio do Fogo	3	3
241110 Ruy Barbosa	1	1
241120 Santa Cruz	9	9
241140 Santana do Matos	3	3
241142 Santana do Seridó	2	2
241150 Santo Antônio	5	5
241200 São Gonçalo do Amarante	22	22
241210 São João do Sabugi	2	2
241220 São José de Mipibu	10	10
241230 São José do Campestre	1	1
241240 São José do Seridó	2	2
241250 São Miguel	4	4
241260 São Paulo do Potengi	3	3
241270 São Pedro	1	1
241280 São Rafael	2	2
241310 Senador Elói de Souza	3	3
241320 Senador Georgino Avelino	2	2
241030 Serra Caiada	4	4
241335 Serra do Mel	1	1
241340 Serra Negra do Norte	1	1
241355 Serrinha dos Pintos	1	1
241360 Severiano Melo	2	2
241370 Sítio Novo	1	1
241390 Taipu	2	2
241400 Tangará	2	2
241410 Tenente Ananias	4	4
241415 Tenente Laurentino Cruz	1	1
241105 Tibau	2	2
241420 Tibau do Sul	1	1
241430 Timbaúba dos Batistas	2	2
241440 Touros	5	5
241450 Umarizal	4	4
241460 Upanema	1	1
241470 Várzea	1	1
241475 Venha-Ver	1	1
241480 Vera Cruz	4	4
241500 Vila Flor	2	2
250020 Aguiar	2	2
250030 Alagoa Grande	11	11
250050 Alagoinha	4	4
250057 Algodão de Jandaíra	1	1
250060 Alhandra	10	10
250073 Amparo	1	1
250077 Aparecida	4	4
250080 Araçagi	7	7
250090 Arara	3	3
250100 Araruna	1	1
250110 Areia	2	2
250130 Aroeiras	3	3
250140 Baía da Traição	3	3
250150 Bananeiras	5	5
250153 Baraúna	2	2
250160 Barra de Santa Rosa	4	4
250157 Barra de Santana	3	3
250180 Bayeux	24	24
250190 Belém	2	2
250200 Belém do Brejo do Cruz	4	4
250205 Bernardino Batista	1	1
250215 Boa Vista	2	2
250220 Bom Jesus	2	2
250230 Bom Sucesso	3	3
250240 Bonito de Santa Fé	1	1
250250 Boqueirão	2	2
250270 Borborema	1	1
250280 Brejo do Cruz	1	1
250290 Brejo dos Santos	6	6
250300 Caaporã	3	3
250320 Cabedelo	11	11
250330 Cachoeira dos Índios	6	6
250340 Cacimba de Areia	1	1
250350 Cacimba de Dentro	7	7
250355 Cacimbas	1	1
250360 Caiçara	1	1
250370 Cajazeiras	19	19
250380 Caldas Brandão	1	1
250400 Campina Grande	69	69
250410 Carrapateira	2	2
250415 Casserengue	1	1
250420 Catingueira	2	2
250430 Catolé do Rocha	8	8
250435 Caturité	2	2
250440 Conceição	2	2
250450 Condado	3	3
250460 Conde	9	9
250480 Coremas	6	6
250490 Cruz do Espírito Santo	5	5
250510 Cuité	3	3
250527 Curral de Cima	2	2
250530 Curral Velho	1	1
250540 Desterro	1	1
250560 Diamante	1	1
250570 Dona Inês	3	3
250590 Emas	2	2
250600 Esperança	7	7
250610 Fagundes	2	2
250620 Frei Martinho	2	2
250630 Guarabira	15	15
250640 Gurinhém	6	6
250650 Gurjão	1	1
250660 Ibiara	5	5
250260 Igaracy	1	1
250670 Imaculada	3	3
250680 Ingá	4	4
250690 Itabaiana	14	14
250700 Itaporanga	3	3
250710 Itapororoca	1	1
250730 Jacaraú	6	6
250740 Jericó	4	4
250750 João Pessoa	229	229
251365 Joca Claudino	2	2
250760 Juarez Távora	3	3
250770 Juazeirinho	2	2
250780 Junco do Seridó	1	1
250790 Juripiranga	6	6
250800 Juru	1	1
250810 Lagoa	1	1
250820 Lagoa de Dentro	3	3
250830 Lagoa Seca	8	8
250850 Livramento	2	2
250855 Logradouro	2	2
250860 Lucena	2	2
250880 Malta	2	2
250890 Mamanguape	19	19
250900 Manaíra	5	5
250905 Marcação	4	4
250910 Mari	5	5
250915 Marizópolis	4	4
250920 Massaranduba	2	2
250930 Mataraca	2	2
250933 Matinhas	4	4
250937 Mato Grosso	1	1
250939 Maturéia	3	3
250940 Mogeiro	2	2
250950 Montadas	1	1
250960 Monte Horebe	1	1
250970 Monteiro	11	11
250980 Mulungu	1	1
250990 Natuba	2	2
251000 Nazarezinho	1	1
251010 Nova Floresta	1	1
251020 Nova Olinda	3	3
251030 Nova Palmeira	1	1
251040 Olho d'Água	1	1
251080 Patos	43	43
251090 Paulista	5	5
251100 Pedra Branca	1	1
251110 Pedra Lavrada	2	2
251120 Pedras de Fogo	4	4
251272 Pedro Régis	1	1
251130 Piancó	3	3
251140 Picuí	3	3
251150 Pilar	3	3
251170 Pilõezinhos	1	1
251180 Pirpirituba	2	2
251190 Pitimbu	4	4
251200 Pocinhos	2	2
251207 Poço de José de Moura	1	1
251210 Pombal	15	15
251220 Prata	2	2
251230 Princesa Isabel	5	5
251250 Queimadas	8	8
251270 Remígio	6	6
251275 Riachão do Bacamarte	1	1
251280 Riacho dos Cavalos	2	2
251290 Rio Tinto	8	8
251320 Santa Cruz	1	1
251330 Santa Helena	1	1
251340 Santa Luzia	4	4
251370 Santa Rita	61	61
251380 Santa Teresinha	1	1
251360 Santana dos Garrotes	2	2
251390 São Bento	5	5
251396 São Domingos	1	1
251400 São João do Cariri	1	1
250070 São João do Rio do Peixe	8	8
251420 São José da Lagoa Tapada	3	3
251450 São José de Piranhas	7	7
251460 São José do Bonfim	2	2
251470 São José do Sabugi	1	1
251445 São José dos Ramos	1	1
251490 São Mamede	3	3
251500 São Miguel de Taipu	4	4
251510 São Sebastião de Lagoa de Roça	1	1
251520 São Sebastião do Umbuzeiro	2	2
251530 Sapé	26	26
251550 Serra Branca	2	2
251580 Serra Redonda	1	1
251590 Serraria	1	1
251593 Sertãozinho	1	1
251597 Sobrado	1	1
251600 Solânea	5	5
251610 Soledade	5	5
251620 Sousa	26	26
251630 Sumé	4	4
251640 Tacima	4	4
251650 Taperoá	2	2
251660 Tavares	3	3
251670 Teixeira	7	7
251675 Tenório	1	1
251680 Triunfo	4	4
251690 Uiraúna	8	8
251700 Umbuzeiro	2	2
251710 Várzea	1	1
251720 Vieirópolis	4	4
260005 Abreu e Lima	49	49
260010 Afogados da Ingazeira	12	12
260020 Afrânio	3	3
260030 Agrestina	5	5
260040 Água Preta	16	16
260050 Águas Belas	16	16
260060 Alagoinha	4	4
260070 Aliança	17	17
260080 Altinho	3	3
260090 Amaraji	4	4
260100 Angelim	2	2
260105 Araçoiaba	5	5
260110 Araripina	22	22
260120 Arcoverde	35	35
260140 Barreiros	13	13
260150 Belém de Maria	4	4
260160 Belém do São Francisco	5	5
260170 Belo Jardim	18	18
260180 Betânia	1	1
260190 Bezerros	17	17
260200 Bodocó	14	14
260210 Bom Conselho	13	13
260220 Bom Jardim	11	11
260230 Bonito	5	5
260240 Brejão	4	4
260250 Brejinho	1	1
260260 Brejo da Madre de Deus	16	16
260270 Buenos Aires	3	3
260280 Buíque	8	8
260290 Cabo de Santo Agostinho	89	89
260300 Cabrobó	5	5
260310 Cachoeirinha	7	7
260320 Caetés	5	5
260330 Calçado	4	4
260340 Calumbi	1	1
260345 Camaragibe	54	54
260350 Camocim de São Félix	1	1
260360 Camutanga	2	2
260370 Canhotinho	9	9
260380 Capoeiras	4	4
260390 Carnaíba	16	16
260392 Carnaubeira da Penha	5	5
260400 Carpina	17	17
260410 Caruaru	67	67
260415 Casinhas	2	2
260420 Catende	23	23
260430 Cedro	3	3
260450 Chã Grande	2	2
260460 Condado	5	5
260470 Correntes	8	8
260480 Cortês	1	1
260490 Cumaru	1	1
260500 Cupira	8	8
260510 Custódia	26	26
260515 Dormentes	6	6
260520 Escada	35	35
260530 Exu	5	5
260540 Feira Nova	8	8
260550 Ferreiros	3	3
260560 Flores	7	7
260570 Floresta	2	2
260580 Frei Miguelinho	3	3
260590 Gameleira	12	12
260600 Garanhuns	33	33
260610 Glória do Goitá	9	9
260620 Goiana	36	36
260630 Granito	2	2
260640 Gravatá	30	30
260660 Ibimirim	7	7
260670 Ibirajuba	1	1
260680 Igarassu	37	37
260690 Iguaracy	3	3
260760 Ilha de Itamaracá	6	6
260700 Inajá	4	4
260710 Ingazeira	1	1
260720 Ipojuca	29	29
260730 Ipubi	5	5
260740 Itacuruba	3	3
260750 Itaíba	4	4
260765 Itambé	9	9
260770 Itapetim	4	4
260775 Itapissuma	11	11
260780 Itaquitinga	6	6
260790 Jaboatão dos Guararapes	238	238
260795 Jaqueira	4	4
260800 Jataúba	3	3
260805 Jatobá	2	2
260810 João Alfredo	5	5
260820 Joaquim Nabuco	5	5
260825 Jucati	2	2
260830 Jupi	7	7
260840 Jurema	3	3
260850 Lagoa de Itaenga	3	3
260845 Lagoa do Carro	6	6
260860 Lagoa do Ouro	7	7
260870 Lagoa dos Gatos	4	4
260875 Lagoa Grande	7	7
260880 Lajedo	16	16
260890 Limoeiro	23	23
260900 Macaparana	4	4
260910 Machados	4	4
260915 Manari	1	1
260920 Maraial	4	4
260930 Mirandiba	2	2
261430 Moreilândia	2	2
260940 Moreno	12	12
260950 Nazaré da Mata	20	20
260960 Olinda	191	191
260970 Orobó	5	5
260980 Orocó	3	3
260990 Ouricuri	14	14
261000 Palmares	37	37
261010 Palmeirina	3	3
261020 Panelas	2	2
261040 Parnamirim	4	4
261050 Passira	7	7
261060 Paudalho	14	14
261070 Paulista	105	105
261080 Pedra	6	6
261090 Pesqueira	20	20
261100 Petrolândia	8	8
261110 Petrolina	74	74
261120 Poção	2	2
261130 Pombos	6	6
261140 Primavera	3	3
261150 Quipapá	1	1
261153 Quixaba	2	2
261160 Recife	602	602
261170 Riacho das Almas	3	3
261180 Ribeirão	15	15
261190 Rio Formoso	7	7
261200 Sairé	1	1
261210 Salgadinho	2	2
261220 Salgueiro	19	19
261230 Saloá	4	4
261240 Sanharó	1	1
261245 Santa Cruz	4	4
261247 Santa Cruz da Baixa Verde	3	3
261250 Santa Cruz do Capibaribe	32	32
261255 Santa Filomena	3	3
261260 Santa Maria da Boa Vista	4	4
261280 Santa Terezinha	1	1
261290 São Benedito do Sul	4	4
261300 São Bento do Una	13	13
261310 São Caitano	4	4
261320 São João	5	5
261330 São Joaquim do Monte	2	2
261340 São José da Coroa Grande	7	7
261350 São José do Belmonte	4	4
261360 São José do Egito	10	10
261370 São Lourenço da Mata	35	35
261380 São Vicente Ferrer	3	3
261390 Serra Talhada	16	16
261400 Serrita	1	1
261410 Sertânia	13	13
261420 Sirinhaém	7	7
261440 Solidão	1	1
261450 Surubim	25	25
261460 Tabira	14	14
261470 Tacaimbó	3	3
261480 Tacaratu	1	1
261485 Tamandaré	6	6
261500 Taquaritinga do Norte	13	13
261510 Terezinha	3	3
261520 Terra Nova	1	1
261530 Timbaúba	17	17
261540 Toritama	6	6
261550 Tracunhaém	5	5
261560 Trindade	15	15
261570 Triunfo	7	7
261580 Tupanatinga	5	5
261590 Tuparetama	2	2
261600 Venturosa	4	4
261610 Verdejante	2	2
261618 Vertente do Lério	3	3
261620 Vertentes	5	5
261630 Vicência	11	11
261640 Vitória de Santo Antão	48	48
261650 Xexéu	11	11
260000 Município ignorado - PE	8	8
270010 Água Branca	2	2
270020 Anadia	8	8
270030 Arapiraca	63	63
270040 Atalaia	9	9
270060 Barra de São Miguel	1	1
270070 Batalha	6	6
270080 Belém	1	1
270100 Boca da Mata	3	3
270110 Branquinha	3	3
270120 Cacimbinhas	4	4
270130 Cajueiro	12	12
270140 Campo Alegre	6	6
270150 Campo Grande	2	2
270160 Canapi	3	3
270170 Capela	6	6
270180 Carneiros	1	1
270200 Coité do Nóia	1	1
270210 Colônia Leopoldina	10	10
270220 Coqueiro Seco	1	1
270230 Coruripe	19	19
270235 Craíbas	5	5
270240 Delmiro Gouveia	13	13
270250 Dois Riachos	1	1
270255 Estrela de Alagoas	4	4
270260 Feira Grande	4	4
270270 Feliz Deserto	1	1
270280 Flexeiras	2	2
270290 Girau do Ponciano	4	4
270300 Ibateguara	5	5
270310 Igaci	9	9
270320 Igreja Nova	2	2
270330 Inhapi	9	9
270340 Jacaré dos Homens	1	1
270350 Jacuípe	2	2
270360 Japaratinga	2	2
270370 Jaramataia	2	2
270375 Jequiá da Praia	1	1
270380 Joaquim Gomes	6	6
270390 Jundiá	1	1
270400 Junqueiro	11	11
270410 Lagoa da Canoa	7	7
270420 Limoeiro de Anadia	10	10
270430 Maceió	349	349
270440 Major Isidoro	1	1
270450 Maragogi	5	5
270460 Maravilha	3	3
270470 Marechal Deodoro	17	17
270480 Maribondo	2	2
270500 Mata Grande	3	3
270510 Matriz de Camaragibe	10	10
270520 Messias	8	8
270530 Minador do Negrão	5	5
270540 Monteirópolis	1	1
270550 Murici	11	11
270560 Novo Lino	2	2
270570 Olho d'Água das Flores	3	3
270580 Olho d'Água do Casado	1	1
270590 Olho d'Água Grande	1	1
270600 Olivença	2	2
270610 Ouro Branco	1	1
270620 Palestina	1	1
270630 Palmeira dos Índios	33	33
270640 Pão de Açúcar	8	8
270642 Pariconha	1	1
270644 Paripueira	1	1
270650 Passo de Camaragibe	4	4
270660 Paulo Jacinto	3	3
270670 Penedo	9	9
270680 Piaçabuçu	8	8
270690 Pilar	6	6
270700 Pindoba	1	1
270710 Piranhas	2	2
270720 Poço das Trincheiras	1	1
270730 Porto Calvo	10	10
270740 Porto de Pedras	1	1
270750 Porto Real do Colégio	1	1
270760 Quebrangulo	1	1
270770 Rio Largo	23	23
270790 Santa Luzia do Norte	1	1
270800 Santana do Ipanema	15	15
270810 Santana do Mundaú	1	1
270830 São José da Laje	5	5
270840 São José da Tapera	3	3
270850 São Luís do Quitunde	5	5
270860 São Miguel dos Campos	11	11
270880 São Sebastião	8	8
270890 Satuba	4	4
270895 Senador Rui Palmeira	1	1
270910 Taquarana	1	1
270915 Teotônio Vilela	11	11
270920 Traipu	6	6
270930 União dos Palmares	35	35
270940 Viçosa	5	5
270000 Município ignorado - AL	1	1
280010 Amparo de São Francisco	1	1
280030 Aracaju	169	169
280040 Arauá	3	3
280050 Areia Branca	7	7
280060 Barra dos Coqueiros	5	5
280067 Boquim	10	10
280070 Brejo Grande	1	1
280100 Campo do Brito	9	9
280120 Canindé de São Francisco	6	6
280130 Capela	4	4
280140 Carira	5	5
280150 Carmópolis	2	2
280160 Cedro de São João	2	2
280170 Cristinápolis	6	6
280200 Divina Pastora	3	3
280210 Estância	15	15
280220 Feira Nova	2	2
280250 General Maynard	1	1
280260 Gracho Cardoso	1	1
280280 Indiaroba	2	2
280290 Itabaiana	27	27
280300 Itabaianinha	10	10
280310 Itabi	1	1
280320 Itaporanga d'Ajuda	3	3
280330 Japaratuba	5	5
280340 Japoatã	3	3
280350 Lagarto	22	22
280360 Laranjeiras	12	12
280370 Macambira	2	2
280390 Malhador	1	1
280400 Maruim	8	8
280410 Moita Bonita	3	3
280420 Monte Alegre de Sergipe	6	6
280430 Muribeca	2	2
280440 Neópolis	7	7
280450 Nossa Senhora da Glória	6	6
280460 Nossa Senhora das Dores	6	6
280480 Nossa Senhora do Socorro	41	41
280490 Pacatuba	2	2
280500 Pedra Mole	2	2
280510 Pedrinhas	2	2
280520 Pinhão	1	1
280530 Pirambu	1	1
280540 Poço Redondo	10	10
280550 Poço Verde	1	1
280560 Porto da Folha	10	10
280570 Propriá	7	7
280580 Riachão do Dantas	3	3
280590 Riachuelo	1	1
280600 Ribeirópolis	2	2
280610 Rosário do Catete	2	2
280620 Salgado	5	5
280630 Santa Luzia do Itanhy	3	3
280640 Santana do São Francisco	1	1
280660 Santo Amaro das Brotas	3	3
280670 São Cristóvão	20	20
280680 São Domingos	1	1
280690 São Francisco	1	1
280700 São Miguel do Aleixo	1	1
280710 Simão Dias	15	15
280720 Siriri	4	4
280740 Tobias Barreto	8	8
280750 Tomar do Geru	5	5
280760 Umbaúba	6	6
280000 Município ignorado - SE	1	1
290010 Abaíra	1	1
290020 Abaré	4	4
290030 Acajutiba	4	4
290040 Água Fria	4	4
290060 Aiquara	1	1
290070 Alagoinhas	40	40
290080 Alcobaça	3	3
290090 Almadina	3	3
290100 Amargosa	7	7
290110 Amélia Rodrigues	4	4
290120 Anagé	4	4
290130 Andaraí	3	3
290135 Andorinha	2	2
290140 Angical	9	9
290150 Anguera	3	3
290160 Antas	5	5
290170 Antônio Cardoso	5	5
290180 Antônio Gonçalves	3	3
290190 Aporá	2	2
290195 Apuarema	1	1
290205 Araças	5	5
290200 Aracatu	7	7
290210 Araci	21	21
290220 Aramari	1	1
290225 Arataca	2	2
290230 Aratuípe	3	3
290240 Aurelino Leal	2	2
290250 Baianópolis	5	5
290260 Baixa Grande	2	2
290265 Banzaê	1	1
290270 Barra	8	8
290280 Barra da Estiva	12	12
290290 Barra do Choça	5	5
290300 Barra do Mendes	2	2
290320 Barreiras	55	55
290323 Barro Alto	1	1
290330 Barro Preto	2	2
290327 Barrocas	1	1
290340 Belmonte	9	9
290350 Belo Campo	6	6
290360 Biritinga	4	4
290370 Boa Nova	2	2
290380 Boa Vista do Tupim	2	2
290390 Bom Jesus da Lapa	15	15
290400 Boninal	3	3
290405 Bonito	3	3
290410 Boquira	4	4
290430 Brejões	5	5
290440 Brejolândia	1	1
290460 Brumado	19	19
290470 Buerarema	5	5
290475 Buritirama	2	2
290480 Caatiba	2	2
290485 Cabaceiras do Paraguaçu	5	5
290490 Cachoeira	15	15
290500 Caculé	3	3
290510 Caém	3	3
290515 Caetanos	3	3
290520 Caetité	10	10
290530 Cafarnaum	10	10
290540 Cairu	2	2
290550 Caldeirão Grande	2	2
290560 Camacan	12	12
290570 Camaçari	64	64
290580 Camamu	10	10
290590 Campo Alegre de Lourdes	11	11
290600 Campo Formoso	22	22
290610 Canápolis	1	1
290620 Canarana	6	6
290630 Canavieiras	7	7
290650 Candeias	24	24
290660 Candiba	3	3
290670 Cândido Sales	8	8
290680 Cansanção	3	3
290682 Canudos	1	1
290685 Capela do Alto Alegre	2	2
290687 Capim Grosso	2	2
290690 Caravelas	7	7
290700 Cardeal da Silva	1	1
290710 Carinhanha	9	9
290720 Casa Nova	21	21
290730 Castro Alves	8	8
290740 Catolândia	1	1
290750 Catu	11	11
290755 Caturama	2	2
290760 Central	5	5
290770 Chorrochó	3	3
290780 Cícero Dantas	9	9
290790 Cipó	1	1
290800 Coaraci	5	5
290820 Conceição da Feira	3	3
290830 Conceição do Almeida	11	11
290840 Conceição do Coité	24	24
290850 Conceição do Jacuípe	12	12
290860 Conde	4	4
290870 Condeúba	5	5
290880 Contendas do Sincorá	2	2
290890 Coração de Maria	8	8
290900 Cordeiros	1	1
290910 Coribe	2	2
290920 Coronel João Sá	3	3
290930 Correntina	3	3
290940 Cotegipe	10	10
290960 Crisópolis	3	3
290980 Cruz das Almas	18	18
290990 Curaçá	4	4
291000 Dário Meira	5	5
291005 Dias d'Ávila	25	25
291010 Dom Basílio	9	9
291020 Dom Macedo Costa	2	2
291030 Elísio Medrado	4	4
291040 Encruzilhada	2	2
291050 Entre Rios	16	16
290050 Érico Cardoso	2	2
291060 Esplanada	8	8
291070 Euclides da Cunha	11	11
291072 Eunápolis	22	22
291075 Fátima	2	2
291077 Feira da Mata	1	1
291080 Feira de Santana	183	183
291085 Filadélfia	1	1
291100 Floresta Azul	2	2
291110 Formosa do Rio Preto	7	7
291120 Gandu	5	5
291125 Gavião	1	1
291130 Gentio do Ouro	5	5
291140 Glória	2	2
291160 Governador Mangabeira	6	6
291170 Guanambi	14	14
291180 Guaratinga	3	3
291185 Heliópolis	6	6
291190 Iaçu	8	8
291200 Ibiassucê	1	1
291210 Ibicaraí	8	8
291220 Ibicoara	1	1
291230 Ibicuí	3	3
291240 Ibipeba	5	5
291250 Ibipitanga	7	7
291260 Ibiquera	1	1
291270 Ibirapitanga	5	5
291280 Ibirapuã	4	4
291290 Ibirataia	3	3
291300 Ibitiara	3	3
291310 Ibititá	5	5
291320 Ibotirama	8	8
291330 Ichu	1	1
291340 Igaporã	6	6
291350 Iguaí	1	1
291360 Ilhéus	59	59
291370 Inhambupe	10	10
291380 Ipecaetá	1	1
291390 Ipiaú	12	12
291400 Ipirá	18	18
291410 Ipupiara	3	3
291420 Irajuba	2	2
291430 Iramaia	3	3
291440 Iraquara	14	14
291450 Irará	7	7
291460 Irecê	21	21
291465 Itabela	10	10
291470 Itaberaba	18	18
291480 Itabuna	100	100
291490 Itacaré	4	4
291500 Itaeté	2	2
291510 Itagi	5	5
291520 Itagibá	1	1
291530 Itagimirim	1	1
291535 Itaguaçu da Bahia	2	2
291540 Itaju do Colônia	2	2
291550 Itajuípe	3	3
291560 Itamaraju	28	28
291580 Itambé	3	3
291590 Itanagra	1	1
291600 Itanhém	3	3
291610 Itaparica	6	6
291620 Itapé	1	1
291630 Itapebi	2	2
291640 Itapetinga	18	18
291650 Itapicuru	5	5
291660 Itapitanga	2	2
291670 Itaquara	3	3
291680 Itarantim	5	5
291685 Itatim	1	1
291690 Itiruçu	2	2
291700 Itiúba	7	7
291710 Itororó	4	4
291720 Ituaçu	6	6
291730 Ituberá	8	8
291733 Iuiú	1	1
291735 Jaborandi	3	3
291740 Jacaraci	2	2
291750 Jacobina	23	23
291760 Jaguaquara	9	9
291770 Jaguarari	7	7
291780 Jaguaripe	5	5
291790 Jandaíra	4	4
291800 Jequié	26	26
291810 Jeremoabo	7	7
291820 Jiquiriçá	3	3
291830 Jitaúna	8	8
291835 João Dourado	4	4
291840 Juazeiro	54	54
291845 Jucuruçu	2	2
291850 Jussara	4	4
291855 Jussari	4	4
291860 Jussiape	5	5
291870 Lafaiete Coutinho	1	1
291875 Lagoa Real	1	1
291880 Laje	2	2
291890 Lajedão	2	2
291900 Lajedinho	1	1
291905 Lajedo do Tabocal	1	1
291910 Lamarão	1	1
291915 Lapão	7	7
291920 Lauro de Freitas	64	64
291930 Lençóis	3	3
291940 Licínio de Almeida	2	2
291950 Livramento de Nossa Senhora	13	13
291955 Luís Eduardo Magalhães	10	10
291960 Macajuba	5	5
291970 Macarani	6	6
291980 Macaúbas	7	7
291990 Macururé	1	1
291992 Madre de Deus	5	5
292000 Maiquinique	3	3
292010 Mairi	9	9
292020 Malhada	1	1
292030 Malhada de Pedras	2	2
292040 Manoel Vitorino	2	2
292045 Mansidão	2	2
292050 Maracás	5	5
292060 Maragogipe	11	11
292070 Maraú	3	3
292080 Marcionílio Souza	1	1
292090 Mascote	1	1
292100 Mata de São João	17	17
292105 Matina	4	4
292110 Medeiros Neto	5	5
292120 Miguel Calmon	9	9
292130 Milagres	2	2
292140 Mirangaba	4	4
292145 Mirante	2	2
292150 Monte Santo	13	13
292160 Morpará	2	2
292170 Morro do Chapéu	10	10
292180 Mortugaba	3	3
292200 Mucuri	10	10
292205 Mulungu do Morro	4	4
292210 Mundo Novo	6	6
292220 Muniz Ferreira	5	5
292225 Muquém de São Francisco	3	3
292230 Muritiba	11	11
292240 Mutuípe	6	6
292250 Nazaré	11	11
292265 Nordestina	2	2
292270 Nova Canaã	2	2
292273 Nova Fátima	2	2
292275 Nova Ibiá	1	1
292290 Nova Soure	9	9
292300 Nova Viçosa	10	10
292303 Novo Horizonte	4	4
292305 Novo Triunfo	1	1
292310 Olindina	8	8
292320 Oliveira dos Brejinhos	3	3
292330 Ouriçangas	3	3
292335 Ourolândia	1	1
292340 Palmas de Monte Alto	4	4
292350 Palmeiras	1	1
292360 Paramirim	4	4
292370 Paratinga	5	5
292380 Paripiranga	8	8
292390 Pau Brasil	1	1
292400 Paulo Afonso	28	28
292405 Pé de Serra	6	6
292410 Pedrão	1	1
292420 Pedro Alexandre	1	1
292430 Piatã	3	3
292440 Pilão Arcado	4	4
292450 Pindaí	2	2
292460 Pindobaçu	3	3
292465 Pintadas	3	3
292470 Piripá	3	3
292480 Piritiba	5	5
292490 Planaltino	2	2
292500 Planalto	6	6
292510 Poções	13	13
292520 Pojuca	5	5
292525 Ponto Novo	4	4
292530 Porto Seguro	22	22
292550 Prado	4	4
292560 Presidente Dutra	6	6
292570 Presidente Jânio Quadros	1	1
292575 Presidente Tancredo Neves	4	4
292580 Queimadas	2	2
292590 Quijingue	5	5
292595 Rafael Jambeiro	10	10
292600 Remanso	8	8
292610 Retirolândia	5	5
292620 Riachão das Neves	11	11
292630 Riachão do Jacuípe	7	7
292640 Riacho de Santana	9	9
292650 Ribeira do Amparo	3	3
292660 Ribeira do Pombal	15	15
292670 Rio de Contas	1	1
292680 Rio do Antônio	2	2
292690 Rio do Pires	2	2
292700 Rio Real	8	8
292710 Rodelas	1	1
292720 Ruy Barbosa	11	11
292730 Salinas da Margarida	5	5
292740 Salvador	1063	1063
292750 Santa Bárbara	7	7
292760 Santa Brígida	4	4
292770 Santa Cruz Cabrália	5	5
292790 Santa Inês	2	2
292805 Santa Luzia	2	2
292810 Santa Maria da Vitória	4	4
292840 Santa Rita de Cássia	10	10
292800 Santaluz	9	9
292820 Santana	1	1
292830 Santanópolis	1	1
292860 Santo Amaro	15	15
292870 Santo Antônio de Jesus	32	32
292880 Santo Estêvão	20	20
292890 São Desidério	9	9
292895 São Domingos	1	1
292910 São Felipe	9	9
292900 São Félix	12	12
292905 São Félix do Coribe	1	1
292920 São Francisco do Conde	12	12
292925 São Gabriel	3	3
292930 São Gonçalo dos Campos	3	3
292935 São José da Vitória	5	5
292937 São José do Jacuípe	3	3
292940 São Miguel das Matas	4	4
292950 São Sebastião do Passé	16	16
292960 Sapeaçu	7	7
292970 Sátiro Dias	2	2
292975 Saubara	2	2
292980 Saúde	2	2
292990 Seabra	7	7
293000 Sebastião Laranjeiras	5	5
293010 Senhor do Bonfim	15	15
293020 Sento Sé	7	7
293015 Serra do Ramalho	5	5
293030 Serra Dourada	4	4
293040 Serra Preta	1	1
293050 Serrinha	21	21
293060 Serrolândia	5	5
293070 Simões Filho	42	42
293075 Sítio do Mato	3	3
293077 Sobradinho	2	2
293080 Souto Soares	4	4
293090 Tabocas do Brejo Velho	2	2
293100 Tanhaçu	6	6
293105 Tanque Novo	2	2
293110 Tanquinho	1	1
293120 Taperoá	2	2
293130 Tapiramutá	6	6
293135 Teixeira de Freitas	36	36
293140 Teodoro Sampaio	2	2
293150 Teofilândia	4	4
293170 Terra Nova	2	2
293180 Tremedal	6	6
293190 Tucano	6	6
293200 Uauá	5	5
293210 Ubaíra	3	3
293220 Ubaitaba	5	5
293230 Ubatã	2	2
293240 Uibaí	4	4
293245 Umburanas	1	1
293250 Una	9	9
293260 Urandi	2	2
293270 Uruçuca	7	7
293280 Utinga	9	9
293290 Valença	22	22
293300 Valente	10	10
293305 Várzea da Roça	1	1
293310 Várzea do Poço	1	1
293317 Varzedo	6	6
293320 Vera Cruz	17	17
293325 Vereda	2	2
293330 Vitória da Conquista	76	76
293340 Wagner	1	1
293345 Wanderley	3	3
293350 Wenceslau Guimarães	2	2
293360 Xique-Xique	12	12
290000 Município ignorado - BA	14	14
310010 Abadia dos Dourados	4	4
310020 Abaeté	9	9
310030 Abre Campo	1	1
310040 Acaiaca	1	1
310050 Açucena	3	3
310060 Água Boa	2	2
310070 Água Comprida	2	2
310080 Aguanil	1	1
310090 Águas Formosas	4	4
310100 Águas Vermelhas	4	4
310110 Aimorés	6	6
310130 Alagoa	1	1
310150 Além Paraíba	14	14
310160 Alfenas	24	24
310163 Alfredo Vasconcelos	2	2
